name,name,rate,currency_id
USD,2020-06-24,0.6956782961854114,2
EUR,2020-06-24,0.6145017597108761,1
GBP,2020-06-24,0.5550491565212741,147
INR,2020-06-24,52.555308333348854,20
AUD,2020-06-24,1.0,21
CAD,2020-06-24,0.9415098700984768,4
CHF,2020-06-24,0.6569352184512511,5
JPY,2020-06-24,74.12327597432483,25
CNY,2020-06-24,4.910625079924914,7
NZD,2020-06-24,1.0689711931630523,35
USD,2020-06-25,0.6869564311474977,2
EUR,2020-06-25,0.6103045914358758,1
GBP,2020-06-25,0.5526229169347578,147
INR,2020-06-25,52.088761626592046,20
AUD,2020-06-25,1.0,21
CAD,2020-06-25,0.936332858520383,4
CHF,2020-06-25,0.6514224224108978,5
JPY,2020-06-25,73.5566633432367,25
CNY,2020-06-25,4.862704392031796,7
NZD,2020-06-25,1.0705063883429162,35
USD,2020-06-26,0.6879623413421042,2
EUR,2020-06-26,0.6133177998848306,1
GBP,2020-06-26,0.5539778373614195,147
INR,2020-06-26,51.95305392238815,20
AUD,2020-06-26,1.0,21
CAD,2020-06-26,0.9382896154161121,4
CHF,2020-06-26,0.652546245779349,5
JPY,2020-06-26,73.74092722955658,25
CNY,2020-06-26,4.8680824949034,7
NZD,2020-06-26,1.0708718326851547,35
USD,2020-06-27,0.6863517158800378,2
EUR,2020-06-27,0.611763370486578,1
GBP,2020-06-27,0.5562146692586944,147
INR,2020-06-27,51.907794510817396,20
AUD,2020-06-27,1.0,21
CAD,2020-06-27,0.9402064300906351,4
CHF,2020-06-27,0.6506298149414865,5
JPY,2020-06-27,73.57040708696539,25
CNY,2020-06-27,4.858176812038225,7
NZD,2020-06-27,1.0687697195170989,35
USD,2020-06-28,0.6864234460937111,2
EUR,2020-06-28,0.611877836509537,1
GBP,2020-06-28,0.5563755431308786,147
INR,2020-06-28,51.91728134687884,20
AUD,2020-06-28,1.0,21
CAD,2020-06-28,0.9399270700280266,4
CHF,2020-06-28,0.6507423028964823,5
JPY,2020-06-28,73.58305203584392,25
CNY,2020-06-28,4.858321180632375,7
